,0
0,1.0
1,0.9857142857142858
2,0.9857142857142858
3,0.9857142857142858
4,0.9857142857142858
5,0.9857142857142858
6,0.9857142857142858
7,0.9571428571428572
8,0.9714285714285714
9,0.9571428571428572
10,0.9571428571428572
11,0.9857142857142858
12,0.9857142857142858
13,0.9857142857142858
14,1.0
15,0.9714285714285714
16,0.9714285714285714
17,0.9857142857142858
18,0.9714285714285714
19,0.9714285714285714
20,0.9857142857142858
21,0.9571428571428572
22,0.9428571428571428
23,0.9714285714285714
24,0.9857142857142858
25,0.9857142857142858
26,0.9857142857142858
27,0.9714285714285714
28,1.0
29,0.9714285714285714
30,1.0
31,0.9857142857142858
32,0.9571428571428572
33,0.9571428571428572
34,0.9714285714285714
35,0.9857142857142858
36,0.9428571428571428
37,0.9857142857142858
38,0.9857142857142858
39,0.9857142857142858
40,0.9714285714285714
41,0.9857142857142858
42,0.9857142857142858
43,0.9714285714285714
44,0.9857142857142858
45,0.9714285714285714
46,0.9571428571428572
47,0.9714285714285714
48,0.9428571428571428
49,0.9714285714285714
50,0.9571428571428572
51,0.9714285714285714
52,1.0
53,0.9571428571428572
54,0.9285714285714286
55,0.9714285714285714
56,0.9714285714285714
57,0.9571428571428572
58,0.9857142857142858
59,0.9857142857142858
60,1.0
61,0.9714285714285714
62,0.9857142857142858
63,0.9857142857142858
64,0.9428571428571428
65,0.9714285714285714
66,0.9857142857142858
67,0.9714285714285714
68,0.9571428571428572
69,0.9571428571428572
70,0.9857142857142858
71,0.9714285714285714
72,0.9428571428571428
73,0.9571428571428572
74,0.9571428571428572
75,0.9571428571428572
76,0.9714285714285714
77,0.9857142857142858
78,0.9571428571428572
79,0.9714285714285714
80,0.9857142857142858
81,0.9571428571428572
82,1.0
83,0.9714285714285714
84,1.0
85,1.0
86,0.9285714285714286
87,0.9714285714285714
88,0.9714285714285714
89,0.9428571428571428
90,0.9857142857142858
91,1.0
92,1.0
93,0.9857142857142858
94,0.9571428571428572
95,0.9857142857142858
96,0.9571428571428572
97,0.9857142857142858
98,0.9857142857142858
99,0.9857142857142858
